model,fold,n_samples,accuracy,log_loss,brier,auc,tn,fp,fn,tp
elo_only,1,185,0.5621621621621622,0.6841246494273652,0.2455244803020602,0.5804843304843306,0,81,0,104
logistic_regression,1,185,0.5081081081081081,1.9231907676374387,0.42392960238718347,0.5419040835707503,48,33,58,46
random_forest,1,185,0.5513513513513514,0.6939914066332938,0.2501708705290517,0.5709876543209876,49,32,51,53
hist_gradient_boosting,1,185,0.5135135135135135,1.2619268468124842,0.372569734848376,0.5154320987654322,60,21,69,35
elo_only,2,185,0.5513513513513514,0.6905375845940229,0.24854433889885963,0.5748877864398771,0,83,0,102
logistic_regression,2,185,0.4594594594594595,1.2471334290047849,0.38735419525489145,0.4398771556815497,40,43,57,45
random_forest,2,185,0.5567567567567567,0.6845967741363744,0.24550382311160912,0.5724072761634775,35,48,34,68
hist_gradient_boosting,2,185,0.5513513513513514,1.0343216347713677,0.32830847873500696,0.5144105835105126,35,48,35,67
elo_only,3,185,0.5081081081081081,0.7093128490156327,0.2578132848821217,0.5485153144727613,0,91,0,94
logistic_regression,3,185,0.5459459459459459,0.7832790297268718,0.2779504305148024,0.5641805003507131,35,56,28,66
random_forest,3,185,0.572972972972973,0.6932521090991853,0.2497340806870718,0.5516717325227963,37,54,25,69
hist_gradient_boosting,3,185,0.5459459459459459,0.8294898953310342,0.2960745855513641,0.5436053308393733,46,45,39,55
elo_only,4,185,0.572972972972973,0.6783814139051016,0.24283961745135452,0.566904761904762,2,78,1,104
logistic_regression,4,185,0.5513513513513514,0.7620879770231335,0.2750686397391358,0.5572619047619048,52,28,55,50
random_forest,4,185,0.5513513513513514,0.6936408989551075,0.24985722856624706,0.5546428571428572,28,52,31,74
hist_gradient_boosting,4,185,0.5135135135135135,0.8046021887837825,0.2941026746570141,0.500357142857143,28,52,38,67
elo_only,5,185,0.5891891891891892,0.6718777105252434,0.23953572055069855,0.5737133237133237,1,76,0,108
logistic_regression,5,185,0.4702702702702703,0.9140570245534383,0.3273441978316751,0.4306156806156806,25,52,46,62
random_forest,5,185,0.5837837837837838,0.6915445633149578,0.24842599361646908,0.5402837902837903,31,46,31,77
hist_gradient_boosting,5,185,0.5297297297297298,0.8608843397120814,0.30011961157378036,0.506012506012506,30,47,40,68
elo_only,OOF,925,0.5567567567567567,0.6868468414934732,0.2468514884170189,0.5636177823198774,3,409,1,512
logistic_regression,OOF,925,0.5070270270270271,1.1259496455891334,0.33832941314553766,0.49533961657109327,200,212,244,269
random_forest,OOF,925,0.5632432432432433,0.6914051504277838,0.24873839930208974,0.5559624519767595,180,232,172,341
hist_gradient_boosting,OOF,925,0.5308108108108108,0.95824498108215,0.3182350170731083,0.5224786615946555,199,213,221,292
elo_shrunk_home_rate,OOF,925,0.5545945945945946,0.6850234069782531,0.245973324651035,0.5638827381290334,0,412,0,513
blend_uncalibrated,OOF,925,0.5740540540540541,0.6819932358152424,0.2444155225895614,0.5642281269516835,54,358,36,477
blend_platt_calibrated,OOF,925,0.5545945945945946,0.6842899213848016,0.24559071622184706,0.5544578814890517,4,408,4,509
blend_isotonic_calibrated,OOF,925,0.5902702702702702,0.7392079949925922,0.24733769650010776,0.5504362308143605,131,281,98,415
stack_uncalibrated,OOF,925,0.5545945945945946,0.6852126201269828,0.24605378737082623,0.5335121785045137,23,389,23,490
stack_platt_calibrated,OOF,925,0.5545945945945946,0.6874491379678696,0.24715461882458706,0.4939344045118189,0,412,0,513
stack_isotonic_calibrated,OOF,925,0.5589189189189189,0.7434753610520348,0.250719724815615,0.507738129033479,59,353,55,458
